#,Nom,Catégories,Site,Twitter,Discord,Telegram,NFT,Ethos Score,Ethos Tier,Ethos Profil,Live
67,MegaHeroes,Gaming,https://www.megaheroes.xyz/,https://x.com/MegaheroesHQ,https://discord.com/invite/dQWqMbg68J,,,993,Questionable,https://app.ethos.network/profile/x/MegaheroesHQ,
68,MegaPunk,Gambling,https://megapunks.org/,https://x.com/Megaeth_Punks,https://discord.com/invite/ZsKZD3XrKg,,,970,Questionable,https://app.ethos.network/profile/x/Megaeth_Punks,
69,LoraFinance,Trading,https://lora.finance/,https://x.com/LoraFinance,,,,969,Questionable,https://app.ethos.network/profile/x/LoraFinance,
70,RealTime,DeFi,https://realtime.exchange/,https://x.com/realtime_defi,https://discord.com/invite/realtime-exchange,https://t.me/realtime_exchange,,960,Questionable,https://app.ethos.network/profile/x/realtime_defi,
71,Aqua,DeFi,https://useaqua.xyz/,https://x.com/useAqua_xyz,https://discord.com/invite/kmn2bvdSzZ,,,950,Questionable,https://app.ethos.network/profile/x/useAqua_xyz,
72,Aurion,DeFi,https://www.aurion.xyz/,https://x.com/AurionDex,,,,950,Questionable,https://app.ethos.network/profile/x/AurionDex,
73,SectorOne,DeFi,https://sectorone.xyz/,https://x.com/SectorOneDEX,https://discord.com/invite/rfgMebUeV4,,,950,Questionable,https://app.ethos.network/profile/x/SectorOneDEX,Oui
74,Odds,Launchpad,https://www.oddslaunchpad.com/,https://x.com/oddslaunchpad,,,,950,Questionable,https://app.ethos.network/profile/x/oddslaunchpad,
75,Clutch,Prediction Market,,https://x.com/clutchpredict,,,,950,Questionable,https://app.ethos.network/profile/x/clutchpredict,
76,Premarket,Trading,https://premarket.xyz/,https://x.com/premarket_xyz,,,,950,Questionable,https://app.ethos.network/profile/x/premarket_xyz,
77,Syscall,Tools,,https://x.com/syscall_sdk,,,,950,Questionable,https://app.ethos.network/profile/x/syscall_sdk,
78,MegaCorp,Gaming,https://megacorp.global/,https://x.com/MegaCorpHQ,,,,950,Questionable,https://app.ethos.network/profile/x/MegaCorpHQ,
79,Canonic,Trading,https://canonic.trade/,https://x.com/_canonic,https://discord.com/invite/nQrzzDSdzB,,,950,Questionable,https://app.ethos.network/profile/x/_canonic,
80,GoCash,Gaming,https://www.gocash.fun/,https://x.com/gocashdotfun,,,,950,Questionable,https://app.ethos.network/profile/x/gocashdotfun,
81,Strip,DeFi,https://stripyield.com/,https://x.com/stripyield,https://discord.com/invite/KshwWDZGV6,https://t.me/stripyield,,950,Questionable,https://app.ethos.network/profile/x/stripyield,
82,Mania,Launchpad,https://www.mania.fun/,https://x.com/ManiaDotFun,,,,950,Questionable,https://app.ethos.network/profile/x/ManiaDotFun,
83,Orchid,DeFi,https://www.orchid.credit/,https://x.com/orchidcredit,,,,950,Questionable,https://app.ethos.network/profile/x/orchidcredit,
84,Evently,Prediction Market,https://evently.market/,https://x.com/eventlymarket,https://discord.com/invite/axCYVSPKzc,,,1200,Neutral,https://app.ethos.network/profile/x/eventlymarket,
